gid,objectid,loc_name,status,score,match_type,match_addr,longlabel,shortlabel,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,addrange,side,stpredir,stpretype,stname,sttype,stdir,bldgtype,bldgname,leveltype,levelname,unittype,unitname,subaddr,staddr,block,sector,nbrhd,district,city,metroarea,subregion,region,regionabbr,territory,zone,postal,postalext,country,cntryname,langcode,distance,x,y,displayx,displayy,__xmin,__xmax,ymin,ymax,exinfo,arc_single,id,loannumber,borrowerna,borrowerad,borrowerci,borrowerst,borrowerzi,loanstatus,loanstat_1,initialapp,currentapp,currenta_1,servicingl,hubzoneind,businessag,jobsreport,naicscode,lmiindicat,businessty,forgivenes,forgiven_1,full_addre,geom
1,1,World,M,100,A,"1421 Dr Martin Luther King Jr Blvd, Bronx, New York, 10452","1421 Dr Martin Luther King Jr Blvd, Bronx, NY, 10452, USA",1421 Dr Martin Luther King Jr Blvd,StreetAddress,NULL,NULL,"1421 Dr Martin Luther King Jr Blvd, Bronx, New York, 10452",NULL,NULL,20,NULL,1421,1367,1421,1367-1421,L,NULL,NULL,Dr Martin Luther King Jr,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1421 Dr Martin Luther King Jr Blvd,NULL,NULL,Highbridge,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10452,4050,USA,United States,ENG,0,-73.92503707,40.84326853,-73.92503707,40.84326853,-73.92603707,-73.92403707,40.84226853,40.84426853,NULL,"1421 Dr Martin L King Jr Blvd Bronx, NY",366282,7925888904,GLOBAL MD MULTI SERVICE INC,1421 Dr Martin L King Jr Blvd,Bronx,NY,10452-4069,10/21/21,Paid in Full,147117,147117,147117,"TD Bank, National Association",Y,Existing or more than 2 years old,18,452319,Y,Corporation,147631.91,9/17/21,"1421 Dr Martin L King Jr Blvd Bronx, NY",0101000020E6100000E469B1CE337B52C060DA2B39F06B4440
2,2,World,M,100,A,"209 Grand Concourse, Bronx, New York, 10451","209 Grand Concourse, Bronx, NY, 10451, USA",209 Grand Concourse,StreetAddress,NULL,NULL,"209 Grand Concourse, Bronx, New York, 10451",NULL,NULL,20,NULL,209,101,261,101-261,L,NULL,NULL,Grand Concourse,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,209 Grand Concourse,NULL,NULL,Mott Haven,Bronx,Bronx,New York City Metro,Bronx County,New York,NY,NULL,NULL,10451,5429,USA,United States,ENG,0,-73.93024198,40.81359778,-73.93024198,40.81359778,-73.93124198,-73.92924198,40.81259778,40.81459778,NULL,"209 Grand Concourse Bronx, NY",366981,4263788404,GLOBAL ENTERPRISES SERVICES CORP,209 Grand Concourse,Bronx,NY,10451,11/3/21,Paid in Full,145832,145832,145832,Legacy Bank,Y,Existing or more than 2 years old,7,562111,Y,Corporation,146589.52,9/15/21,"209 Grand Concourse Bronx, NY",0101000020E610000088FAA515897B52C04085DCF823684440
3,3,World,T,91.21,A,Bronx Terminal Market,"Bronx Terminal Market, 610 Exterior St, Bronx, NY, 10451, USA",Bronx Terminal Market,POI,Shopping Center,Bronx Terminal Market,"610 Exterior St, Bronx, New York, 10451",NULL,NULL,19,NULL,610,NULL,NULL,NULL,NULL,NULL,NULL,Exterior,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,610 Exterior St,NULL,NULL,NULL,NULL,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,NULL,USA,United States,ENG,0,-73.929486,40.822608,-73.929486,40.822608,-73.931486,-73.927486,40.820608,40.824608,147,"147 New York City Term Mkt Bronx, NY",368462,7548288807,VEG-PAK DIST. CO. INC.,147 New York City Term Mkt,Bronx,NY,10474-5572,3/18/22,Paid in Full,143322,143322,143322,Signature Bank,Y,Existing or more than 2 years old,7,484121,Y,Subchapter S Corporation,144531.4,2/28/22,"147 New York City Term Mkt Bronx, NY",0101000020E6100000B805D9B27C7B52C0D8B60C384B694440
4,4,World,M,100,A,"275 E 161st St, Bronx, New York, 10451","275 E 161st St, Bronx, NY, 10451, USA",275 E 161st St,PointAddress,NULL,NULL,"275 E 161st St, Bronx, New York, 10451",NULL,NULL,20,NULL,275,NULL,NULL,NULL,NULL,E,NULL,161st,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,275 E 161st St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,3504,USA,United States,ENG,0,-73.91821725,40.82566887,-73.91821725,40.82566887,-73.91921725,-73.91721725,40.82466887,40.82666887,NULL,"275 East 161 Street Bronx, NY",368919,7514087202,161 ST PHARMA INC,275 East 161 Street,Bronx,NY,10451-3504,2/18/22,Paid in Full,142500,142500,142500,Loan Source Incorporated,Y,Existing or more than 2 years old,11,446110,Y,Subchapter S Corporation,143870.34,4/22/21,"275 East 161 Street Bronx, NY",0101000020E610000084F54812C47A52C070D37684AF694440
5,5,World,M,100,A,"261 Grand Conc, Bronx, New York, 10451","261 Grand Conc, Bronx, NY, 10451, USA",261 Grand Conc,PointAddress,NULL,NULL,"261 Grand Conc, Bronx, New York, 10451",NULL,NULL,20,NULL,261,NULL,NULL,NULL,NULL,NULL,NULL,Grand,Conc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261 Grand Conc,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,5429,USA,United States,ENG,0,-73.9301328,40.81372876,-73.9301328,40.81372876,-73.9311328,-73.9291328,40.81272876,40.81472876,NULL,"261 Grand Concourse Bronx, NY",369062,5252167202,GPJ O'DONOGHUE CONTRACTING CORP.,261 Grand Concourse,Bronx,NY,10451,2/18/22,Paid in Full,142200,142200,142200,Loan Source Incorporated,Y,Existing or more than 2 years old,10,236220,Y,Corporation,143894.71,7/21/21,"261 Grand Concourse Bronx, NY",0101000020E61000000CF7B44B877B52C050D09A4328684440
6,6,World,M,100,A,"1120 Leggett Ave, Bronx, New York, 10474","1120 Leggett Ave, Bronx, NY, 10474, USA",1120 Leggett Ave,PointAddress,NULL,NULL,"1120 Leggett Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1120,NULL,NULL,NULL,NULL,NULL,NULL,Leggett,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1120 Leggett Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6295,USA,United States,ENG,0,-73.89427292,40.81127312,-73.89427292,40.81127312,-73.89527292,-73.89327292,40.81027312,40.81227312,NULL,"1120 Leggett Ave Bronx, NY",372284,7787538404,SECURE RESOURCES & COMMUNICATIONS LLC,1120 Leggett Ave,Bronx,NY,10474-6232,7/15/22,Paid in Full,136455,136455,136455,Loan Source Incorporated,Y,Existing or more than 2 years old,35,561612,Y,Limited  Liability Company(LLC),138227.05,6/9/22,"1120 Leggett Ave Bronx, NY",0101000020E610000074F27AC43B7952C0B0CF26CCD7674440
7,7,World,M,100,A,"49 W 170th St, Bronx, New York, 10452","49 W 170th St, Bronx, NY, 10452, USA",49 W 170th St,PointAddress,NULL,NULL,"49 W 170th St, Bronx, New York, 10452",NULL,NULL,20,NULL,49,NULL,NULL,NULL,NULL,W,NULL,170th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49 W 170th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,3246,USA,United States,ENG,0,-73.92074833,40.8405962,-73.92074833,40.8405962,-73.92174833,-73.91974833,40.8395962,40.8415962,NULL,"49 W 170th Street Bronx, NY",373888,7825867709,"SKY UP TAX MULTISERVICE, CORP",49 W 170th Street,Bronx,NY,10452,2/18/22,Paid in Full,133607,133607,133607,Cross River Bank,Y,Existing or more than 2 years old,9,541213,Y,Corporation,135825.24,1/4/22,"49 W 170th Street Bronx, NY",0101000020E6100000DCF56A8AED7A52C038D7FEA7986B4440
8,8,World,M,100,A,"565 Hunts Point Ave, Bronx, New York, 10474","565 Hunts Point Ave, Bronx, NY, 10474, USA",565 Hunts Point Ave,PointAddress,NULL,NULL,"565 Hunts Point Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,565,NULL,NULL,NULL,NULL,NULL,NULL,Hunts Point,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,565 Hunts Point Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6108,USA,United States,ENG,0,-73.88356562,40.81210271,-73.88356562,40.81210271,-73.88456562,-73.88256562,40.81110271,40.81310271,NULL,"565 Hunts Point Ave Bronx, NY",375237,2247167302,HUNTS POINT SERVICE STATION INC,565 Hunts Point Ave,Bronx,NY,10474,5/21/21,Paid in Full,131153,131153,131153,Signature Bank,Y,Existing or more than 2 years old,10,811111,Y,Corporation,132389.07,4/16/21,"565 Hunts Point Ave Bronx, NY",0101000020E610000018F1D4568C7852C0E0CF54FBF2674440
9,9,World,M,100,A,"728 E 136th St, Bronx, New York, 10454","728 E 136th St, Bronx, NY, 10454, USA",728 E 136th St,PointAddress,NULL,NULL,"728 E 136th St, Bronx, New York, 10454",NULL,NULL,20,NULL,728,NULL,NULL,NULL,NULL,E,NULL,136th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,728 E 136th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3431,USA,United States,ENG,0,-73.91276231,40.80303144,-73.91276231,40.80303144,-73.91376231,-73.91176231,40.80203144,40.80403144,NULL,"728 East 136th Street Bronx, NY",375960,6348197308,LUCIDITY AWARDS AND SIGNAGE COPR,728 East 136th Street,Bronx,NY,10454,6/30/21,Paid in Full,130000,130000,130000,"TD Bank, National Association",Y,Existing or more than 2 years old,9,423940,Y,Corporation,131310.83,5/14/21,"728 East 136th Street Bronx, NY",0101000020E6100000D4F498B26A7A52C090CDFABBC9664440
10,10,World,M,100,A,"370 E 134th St, Bronx, New York, 10454","370 E 134th St, Bronx, NY, 10454, USA",370 E 134th St,PointAddress,NULL,NULL,"370 E 134th St, Bronx, New York, 10454",NULL,NULL,20,NULL,370,NULL,NULL,NULL,NULL,E,NULL,134th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370 E 134th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4408,USA,United States,ENG,0,-73.92566147,40.80684181,-73.92566147,40.80684181,-73.92666147,-73.92466147,40.80584181,40.80784181,NULL,"370 E. 134th Street Bronx, NY",376090,1108647310,"N. PAGANO PLUMBING AND HEATING CONTRACTORS, INC.",370 E. 134th Street,Bronx,NY,10454,5/18/21,Paid in Full,129800,129800,129800,"Citibank, N.A.",Y,Existing or more than 2 years old,9,238220,Y,Subchapter S Corporation,130971.81,3/30/21,"370 E. 134th Street Bronx, NY",0101000020E61000007CF69A093E7B52C098CEB09746674440
